team1,team2,score1,score2,date
Colgate,Loyola Maryland,64,56,2022-02-12
Central Ark.,Jacksonville St.,72,62,2022-02-12
Houston Baptist,Southeastern La.,84,89,2022-02-12
Weber St.,Idaho,79,83,2022-02-12
Mississippi Val.,Alabama A&M,92,94,2022-02-12
Idaho St.,Eastern Wash.,72,75,2022-02-12
Little Rock,Troy,66,62,2022-02-12
Omaha,South Dakota St.,61,82,2022-02-12
Fordham,Duquesne,65,54,2022-02-12
Ark.-Pine Bluff,Alabama St.,75,70,2022-02-12
North Florida,Kennesaw St.,74,72,2022-02-12
Radford,Hampton,60,54,2022-02-12
Campbell,High Point,60,42,2022-02-12
UMES,Norfolk St.,63,70,2022-02-12
SMU,East Carolina,80,66,2022-02-12
La Salle,Richmond,63,77,2022-02-12
Arizona,Washington,92,68,2022-02-12
Vanderbilt,Tennessee,64,73,2022-02-12
Liberty,Jacksonville,69,73,2022-02-12
Ohio St.,Michigan,68,57,2022-02-12
Syracuse,Virginia Tech,59,71,2022-02-12
San Francisco,Santa Clara,74,58,2022-02-12
Hofstra,Delaware,80,66,2022-02-12
Florida A&M,Jackson St.,56,60,2022-02-12
Southern U.,Prairie View,77,84,2022-02-12
DePaul,Providence,73,76,2022-02-12
Col. of Charleston,UNCW,79,85,2022-02-12
Notre Dame,Clemson,76,61,2022-02-12
UIC,Purdue Fort Wayne,66,73,2022-02-12
Canisius,Marist,70,71,2022-02-12
Arkansas St.,South Alabama,51,70,2022-02-12
Hartford,NJIT,65,49,2022-02-12
Western Caro.,Wofford,57,69,2022-02-12
Vermont,Albany (NY),76,63,2022-02-12
Central Mich.,Western Mich.,63,77,2022-02-12
North Dakota St.,St. Thomas (MN),75,64,2022-02-12
South Fla.,Wichita St.,69,73,2022-02-12
Kansas City,Oral Roberts,86,91,2022-02-12
Utah,Colorado,76,81,2022-02-12
Pacific,San Diego,54,60,2022-02-12
Cincinnati,Tulsa,77,83,2022-02-12
Mississippi St.,LSU,65,69,2022-02-12
Evansville,Southern Ill.,62,69,2022-02-12
Abilene Christian,Tarleton St.,77,63,2022-02-12
Drake,Bradley,59,68,2022-02-12
Air Force,San Diego St.,64,76,2022-02-12
Penn St.,Minnesota,70,76,2022-02-12
Ole Miss,Missouri,68,74,2022-02-12
Portland St.,Montana,76,85,2022-02-12
Grand Canyon,Dixie St.,60,61,2022-02-12
Wyoming,San Jose St.,74,52,2022-02-12
Saint Marys (CA),Gonzaga,58,74,2022-02-12
BYU,Pepperdine,91,85,2022-02-12
LMU (CA),Portland,76,86,2022-02-12
CSUN,CSU Bakersfield,71,65,2022-02-12
Arizona St.,Washington St.,58,55,2022-02-12
UC Santa Barbara,Cal Poly,69,64,2022-02-12
UTRGV,California Baptist,72,80,2022-02-12
UCLA,Southern California,64,67,2022-02-12
Stanford,Oregon St.,76,65,2022-02-12
Cal St. Fullerton,Hawaii,55,72,2022-02-13
UConn,St. Johns (NY),63,60,2022-02-13
Northern Ky.,Wright St.,75,71,2022-02-13
Robert Morris,Youngstown St.,73,68,2022-02-13
Detroit Mercy,Oakland,59,75,2022-02-13
Stony Brook,Maine,85,74,2022-02-13
Maryland,Purdue,61,62,2022-02-13
Monmouth,Iona,62,70,2022-02-13
Siena,Rider,76,75,2022-02-13
Manhattan,Quinnipiac,83,66,2022-02-13
Nebraska,Iowa,75,98,2022-02-13
UAB,Old Dominion,72,81,2022-02-13
Green Bay,Milwaukee,44,54,2022-02-13
Northwestern,Illinois,66,73,2022-02-13
Charlotte,Middle Tenn.,63,78,2022-02-13
Marshall,UTEP,88,79,2022-02-13
Mercer,UNC Greensboro,73,64,2022-02-13
Colorado St.,Boise St.,77,74,2022-02-13
UNI,Loyola Chicago,58,85,2022-02-13
William & Mary,UNCW,73,80,2022-02-14
UMBC,New Hampshire,62,68,2022-02-14
Saint Louis,St. Bonaventure,79,83,2022-02-14
Eastern Ill.,Austin Peay,54,62,2022-02-14
Lafayette,Colgate,61,69,2022-02-14
Cleveland St.,Purdue Fort Wayne,98,102,2022-02-14
American,Holy Cross,60,54,2022-02-14
Tulsa,UCF,67,76,2022-02-14
N.C. Central,Coppin St.,77,74,2022-02-14
Canisius,Fairfield,76,80,2022-02-14
Duquesne,Davidson,61,72,2022-02-14
Niagara,Marist,70,77,2022-02-14
Virginia,Virginia Tech,53,62,2022-02-14
Drexel,Col. of Charleston,75,79,2022-02-14
West Virginia,Kansas St.,73,78,2022-02-14
James Madison,Delaware,60,81,2022-02-14
Bucknell,Lehigh,77,86,2022-02-14
Vermont,Hartford,74,75,2022-02-14
South Carolina St.,Morgan St.,66,76,2022-02-14
Norfolk St.,Delaware St.,69,66,2022-02-14
Howard,UMES,77,71,2022-02-14
Western Ky.,Southern Miss.,87,77,2022-02-14
Southern Utah,Northern Colo.,95,100,2022-02-14
IUPUI,UIC,54,57,2022-02-14
Ark.-Pine Bluff,Alabama A&M,69,74,2022-02-14
Florida A&M,Alcorn,56,68,2022-02-14
Bethune-Cookman,Jackson St.,51,71,2022-02-14
Grambling,Prairie View,70,71,2022-02-14
Southern U.,Texas Southern,70,58,2022-02-14
Georgetown,Creighton,77,88,2022-02-14
Mississippi Val.,Alabama St.,85,71,2022-02-14
Oklahoma St.,Kansas,62,76,2022-02-14
Dayton,Rhode Island,63,57,2022-02-14
Washington St.,Oregon,59,62,2022-02-14
High Point,Longwood,66,70,2022-02-15
Akron,Western Mich.,57,61,2022-02-15
Kent St.,Toledo,72,59,2022-02-15
Michigan St.,Penn St.,58,62,2022-02-15
Miami (OH),Ohio,78,91,2022-02-15
Eastern Mich.,Central Mich.,75,70,2022-02-15
Wake Forest,Duke,74,76,2022-02-15
Clemson,Florida St.,80,81,2022-02-15
Liberty,North Florida,69,72,2022-02-15
Texas,Oklahoma,80,78,2022-02-15
South Carolina,Ole Miss,77,74,2022-02-15
NIU,Ball St.,64,58,2022-02-15
Tulane,South Fla.,76,57,2022-02-15
VCU,Fordham,66,61,2022-02-15
Florida,Texas A&M,55,56,2022-02-15
Merrimack,Sacred Heart,70,63,2022-02-15
Memphis,Cincinnati,81,74,2022-02-15
Iona,Saint Peters,70,61,2022-02-15
Hofstra,Elon,97,64,2022-02-15
Buffalo,Bowling Green,112,85,2022-02-15
UNI,Illinois St.,72,70,2022-02-15
Villanova,Providence,89,84,2022-02-15
NC State,Georgia Tech,76,61,2022-02-15
Bradley,Southern Ill.,57,65,2022-02-15
Indiana St.,Missouri St.,70,79,2022-02-15
Bushnell,Portland,39,84,2022-02-15
Minnesota,Ohio St.,45,70,2022-02-15
Colorado,Oregon St.,90,64,2022-02-15
Wisconsin,Indiana,74,69,2022-02-15
Wyoming,New Mexico,66,75,2022-02-15
Arkansas,Missouri,76,57,2022-02-15
Butler,DePaul,73,71,2022-02-15
Iowa St.,TCU,54,51,2022-02-15
Kentucky,Tennessee,63,76,2022-02-15
Utah St.,San Diego St.,56,75,2022-02-15
UC Irvine,UC San Diego,56,50,2022-02-15
San Jose St.,Nevada,72,81,2022-02-15
Manhattan,Fairfield,74,67,2022-02-16
Presbyterian,USC Upstate,55,60,2022-02-16
Colgate,Army West Point,100,90,2022-02-16
Campbell,Radford,67,71,2022-02-16
St. Johns (NY),Xavier,86,73,2022-02-16
Boston College,Notre Dame,95,99,2022-02-16
ETSU,Mercer,56,65,2022-02-16
UNC Asheville,Charleston So.,85,66,2022-02-16
Massachusetts,St. Bonaventure,71,83,2022-02-16
Jacksonville,Stetson,67,45,2022-02-16
Navy,American,55,46,2022-02-16
Maine,Hartford,65,75,2022-02-16
Kennesaw St.,FGCU,76,82,2022-02-16
N.C. A&T,Hampton,82,93,2022-02-16
Boston U.,Holy Cross,78,65,2022-02-16
Illinois,Rutgers,59,70,2022-02-16
Albany (NY),Binghamton,68,67,2022-02-16
Wofford,The Citadel,65,58,2022-02-16
Winthrop,Gardner-Webb,81,70,2022-02-16
Furman,Western Caro.,103,85,2022-02-16
Vermont,New Hampshire,71,50,2022-02-16
George Mason,Saint Josephs,75,70,2022-02-16
Mississippi St.,Alabama,75,80,2022-02-16
Loyola Maryland,Lafayette,68,77,2022-02-16
Georgia,LSU,65,84,2022-02-16
Stony Brook,UMBC,84,95,2022-02-16
Miami (FL),Louisville,70,63,2022-02-16
UMass Lowell,NJIT,55,59,2022-02-16
Chicago St.,SFA,71,88,2022-02-16
North Ala.,Eastern Ky.,76,80,2022-02-16
George Washington,Duquesne,73,52,2022-02-16
Pittsburgh,North Carolina,76,67,2022-02-16
La Salle,Saint Louis,64,90,2022-02-16
Evansville,Drake,51,73,2022-02-16
Utah Valley,Tarleton St.,69,56,2022-02-16
Bellarmine,Central Ark.,79,69,2022-02-16
Georgetown,Marquette,66,77,2022-02-16
Seattle U,UTRGV,102,62,2022-02-16
Jacksonville St.,Lipscomb,78,67,2022-02-16
Loyola Chicago,Valparaiso,71,69,2022-02-16
Seton Hall,UConn,65,70,2022-02-16
Baylor,Texas Tech,73,83,2022-02-16
Purdue,Northwestern,70,64,2022-02-16
Morehead St.,UT Martin,68,60,2022-02-16
Vanderbilt,Auburn,80,94,2022-02-16
SMU,Temple,57,64,2022-02-16
Dixie St.,New Mexico St.,64,75,2022-02-16
Grand Canyon,California Baptist,65,60,2022-02-16
Boise St.,Air Force,85,59,2022-02-16
UNLV,Fresno St.,60,57,2022-02-16
Gonzaga,Pepperdine,86,66,2022-02-16
Buffalo,Eastern Mich.,83,69,2022-02-17
Minnesota,Penn St.,46,67,2022-02-17
Towson,UNCW,79,55,2022-02-17
Troy,App State,67,61,2022-02-17
Fairleigh Dickinson,Merrimack,44,64,2022-02-17
UIC,Youngstown St.,79,88,2022-02-17
James Madison,Col. of Charleston,71,63,2022-02-17
IUPUI,Robert Morris,66,56,2022-02-17
Wichita St.,Cincinnati,76,85,2022-02-17
Drexel,William & Mary,72,57,2022-02-17
St. Francis Brooklyn,Mount St. Marys,64,55,2022-02-17
Austin Peay,Murray St.,56,91,2022-02-17
South Alabama,Coastal Carolina,71,68,2022-02-17
East Carolina,South Fla.,65,57,2022-02-17
NIU,Akron,66,63,2022-02-17
Middle Tenn.,FIU,71,65,2022-02-17
UNC Greensboro,Chattanooga,73,70,2022-02-17
North Texas,Fla. Atlantic,54,51,2022-02-17
Wagner,Sacred Heart,76,67,2022-02-17
Delaware,Elon,71,62,2022-02-17
LIU,Saint Francis (PA),81,63,2022-02-17
Old Dominion,Marshall,63,67,2022-02-17
Central Conn. St.,Bryant,61,75,2022-02-17
Michigan,Iowa,84,79,2022-02-17
Ga. Southern,Georgia St.,63,79,2022-02-17
UTEP,Louisiana Tech,63,60,2022-02-17
Louisiana,ULM,78,77,2022-02-17
Oregon St.,Arizona,69,83,2022-02-17
Abilene Christian,Sam Houston,71,75,2022-02-17
St. Thomas (MN),South Dakota,60,81,2022-02-17
Denver,Omaha,69,72,2022-02-17
Kansas City,North Dakota,80,65,2022-02-17
McNeese,Nicholls,73,82,2022-02-17
Oral Roberts,North Dakota St.,59,77,2022-02-17
Eastern Ill.,Belmont,57,81,2022-02-17
VMI,Samford,99,100,2022-02-17
Western Ill.,South Dakota St.,66,91,2022-02-17
Rice,UAB,68,92,2022-02-17
Arkansas St.,Texas St.,67,84,2022-02-17
Charlotte,Western Ky.,67,77,2022-02-17
UTSA,Southern Miss.,98,79,2022-02-17
Little Rock,UT Arlington,70,85,2022-02-17
Southeastern La.,A&M-Corpus Christi,83,74,2022-02-17
SIUE,Tennessee St.,65,81,2022-02-17
Southeast Mo. St.,Tennessee Tech,94,98,2022-02-17
Northwestern St.,UIW,88,64,2022-02-17
Sacramento St.,Weber St.,50,65,2022-02-17
Colorado St.,New Mexico,83,68,2022-02-17
Oregon,Arizona St.,57,81,2022-02-17
Northern Colo.,Idaho St.,58,61,2022-02-17
Montana,Idaho,76,82,2022-02-17
UCF,Houston,52,70,2022-02-17
Longwood,High Point,78,71,2022-02-17
Montana St.,Eastern Wash.,86,88,2022-02-17
Colorado,California,70,62,2022-02-17
Northern Ariz.,Portland St.,67,68,2022-02-17
Creighton,DePaul,71,59,2022-02-17
Cal St. Fullerton,UC Santa Barbara,67,58,2022-02-17
Hawaii,UC San Diego,65,53,2022-02-17
CSU Bakersfield,UC Riverside,69,79,2022-02-17
San Francisco,Saint Marys (CA),64,69,2022-02-17
Long Beach St.,CSUN,72,59,2022-02-17
Santa Clara,LMU (CA),84,80,2022-02-17
San Diego,Portland,60,92,2022-02-17
Utah,Stanford,60,56,2022-02-17
Washington St.,UCLA,56,76,2022-02-17
Washington,Southern California,69,79,2022-02-17
Nevada,San Jose St.,90,60,2022-02-18
Butler,St. Johns (NY),57,91,2022-02-18
Ohio,Kent St.,52,75,2022-02-18
Rider,Monmouth,58,60,2022-02-18
Saint Peters,Fairfield,70,59,2022-02-18
Richmond,VCU,57,77,2022-02-18
Penn,Yale,72,81,2022-02-18
Princeton,Brown,69,50,2022-02-18
Cornell,Dartmouth,59,71,2022-02-18
Marist,Siena,62,53,2022-02-18
Columbia,Harvard,54,62,2022-02-18
Northern Ky.,Detroit Mercy,52,60,2022-02-18
Missouri,Mississippi St.,49,68,2022-02-18
Cleveland St.,Milwaukee,78,61,2022-02-18
Purdue Fort Wayne,Green Bay,74,55,2022-02-18
Maryland,Nebraska,90,74,2022-02-18
Wright St.,Oakland,78,74,2022-02-18
Wofford,Furman,69,70,2022-02-19
Boston College,Syracuse,56,76,2022-02-19
Illinois,Michigan St.,79,74,2022-02-19
Holy Cross,Navy,55,50,2022-02-19
Xavier,UConn,61,72,2022-02-19
Tulsa,South Fla.,65,57,2022-02-19
TCU,Baylor,62,72,2022-02-19
UMBC,Vermont,59,86,2022-02-19
La Salle,Massachusetts,74,80,2022-02-19
Texas Tech,Texas,61,55,2022-02-19
Niagara,Canisius,65,54,2022-02-19
Central Conn. St.,Wagner,68,78,2022-02-19
Notre Dame,Wake Forest,74,79,2022-02-19
Ole Miss,Georgia,85,68,2022-02-19
ETSU,The Citadel,77,67,2022-02-19
Alabama,Kentucky,81,90,2022-02-19
Fairleigh Dickinson,Bryant,93,105,2022-02-19
Dayton,Saint Josephs,74,62,2022-02-19
Southern Ill.,Indiana St.,76,72,2022-02-19
UTEP,Southern Miss.,84,70,2022-02-19
Boston U.,Colgate,53,72,2022-02-19
Oral Roberts,North Dakota,87,73,2022-02-19
Army West Point,American,67,83,2022-02-19
Northeastern,Hofstra,73,76,2022-02-19
Kansas St.,Oklahoma St.,79,82,2022-02-19
Kansas City,North Dakota St.,85,71,2022-02-19
Oklahoma,Iowa St.,54,75,2022-02-19
Morgan St.,Howard,66,68,2022-02-19
High Point,Radford,64,66,2022-02-19
Auburn,Florida,62,63,2022-02-19
Illinois St.,Bradley,64,72,2022-02-19
Valparaiso,Evansville,72,56,2022-02-19
Mercer,Western Caro.,65,69,2022-02-19
IUPUI,Youngstown St.,61,74,2022-02-19
Iowa,Ohio St.,75,62,2022-02-19
Akron,Eastern Mich.,67,48,2022-02-19
Sacred Heart,Merrimack,79,80,2022-02-19
Georgia St.,Ga. Southern,58,49,2022-02-19
Tarleton St.,Chicago St.,79,60,2022-02-19
UNC Greensboro,Samford,49,55,2022-02-19
Arkansas St.,UT Arlington,58,49,2022-02-19
St. Thomas (MN),South Dakota St.,60,79,2022-02-19
Clemson,Louisville,61,70,2022-02-19
Saint Louis,Davidson,58,79,2022-02-19
LSU,South Carolina,75,77,2022-02-19
Hawaii,UC Irvine,52,77,2022-02-19
Jackson St.,Alcorn,60,61,2022-02-19
Troy,Coastal Carolina,63,73,2022-02-19
Delaware,William & Mary,73,69,2022-02-19
Southeast Mo. St.,Morehead St.,92,84,2022-02-19
LIU,Mount St. Marys,66,61,2022-02-19
Delaware St.,N.C. Central,79,84,2022-02-19
Middle Tenn.,Fla. Atlantic,87,79,2022-02-19
Norfolk St.,Coppin St.,89,59,2022-02-19
Western Mich.,Buffalo,73,87,2022-02-19
SFA,Lamar University,70,56,2022-02-19
Houston Baptist,Nicholls,70,84,2022-02-19
North Texas,UAB,58,57,2022-02-19
Eastern Ill.,Tennessee St.,49,63,2022-02-19
Towson,Col. of Charleston,80,77,2022-02-19
Montana St.,Southern Utah,76,71,2022-02-19
Alabama St.,Florida A&M,83,86,2022-02-19
California Baptist,Seattle U,64,67,2022-02-19
Lafayette,Bucknell,89,92,2022-02-19
VMI,Chattanooga,80,75,2022-02-19
Tennessee,Arkansas,48,58,2022-02-19
St. Francis Brooklyn,Saint Francis (PA),80,72,2022-02-19
North Carolina,Virginia Tech,65,57,2022-02-19
New Hampshire,Albany (NY),65,70,2022-02-19
Northwestern,Minnesota,60,77,2022-02-19
Drexel,Elon,71,60,2022-02-19
Alabama A&M,Bethune-Cookman,62,60,2022-02-19
Gardner-Webb,Presbyterian,76,68,2022-02-19
UMES,South Carolina St.,63,70,2022-02-19
Air Force,Wyoming,67,75,2022-02-19
Miami (OH),NIU,78,75,2022-02-19
N.C. A&T,Campbell,63,64,2022-02-19
Winthrop,UNC Asheville,84,79,2022-02-19
Lipscomb,North Ala.,75,72,2022-02-19
South Alabama,App State,51,69,2022-02-19
Murray St.,UT Martin,62,60,2022-02-19
Southeastern La.,UIW,84,92,2022-02-19
Binghamton,UMass Lowell,78,64,2022-02-19
Georgetown,Villanova,66,74,2022-02-19
Virginia,Miami (FL),74,71,2022-02-19
FGCU,North Florida,64,70,2022-02-19
McNeese,New Orleans,75,88,2022-02-19
Tennessee Tech,Austin Peay,73,69,2022-02-19
SIUE,Belmont,62,73,2022-02-19
Ball St.,Bowling Green,91,82,2022-02-19
Little Rock,Texas St.,50,68,2022-02-19
Western Ill.,South Dakota,65,78,2022-02-19
Texas Southern,Mississippi Val.,79,59,2022-02-19
USC Upstate,Charleston So.,78,73,2022-02-19
Hartford,Stony Brook,82,88,2022-02-19
Utah,California,60,58,2022-02-19
Penn,Brown,89,88,2022-02-19
Texas A&M,Vanderbilt,67,72,2022-02-19
Northwestern St.,A&M-Corpus Christi,76,83,2022-02-19
Utah St.,Boise St.,57,68,2022-02-19
Duquesne,St. Bonaventure,55,81,2022-02-19
Florida St.,Duke,70,88,2022-02-19
Rhode Island,George Washington,61,72,2022-02-19
Drake,Loyola Chicago,83,76,2022-02-19
Kennesaw St.,Jacksonville,56,59,2022-02-19
Prairie View,Ark.-Pine Bluff,92,84,2022-02-19
Eastern Wash.,Idaho,80,83,2022-02-19
Grambling,Southern U.,61,57,2022-02-19
Rice,FIU,78,80,2022-02-19
James Madison,UNCW,77,78,2022-02-19
Georgia Tech,Pittsburgh,68,62,2022-02-19
Cornell,Harvard,72,77,2022-02-19
Hampton,Longwood,72,76,2022-02-19
Charlotte,Marshall,99,84,2022-02-19
UTSA,Louisiana Tech,71,95,2022-02-19
Columbia,Dartmouth,50,79,2022-02-19
Old Dominion,Western Ky.,64,73,2022-02-19
Central Mich.,Toledo,66,68,2022-02-19
UIC,Robert Morris,96,88,2022-02-19
Princeton,Yale,81,75,2022-02-19
Stetson,Liberty,82,88,2022-02-19
Eastern Ky.,Central Ark.,76,83,2022-02-19
New Mexico St.,Grand Canyon,82,66,2022-02-19
Sam Houston,UTRGV,67,61,2022-02-19
Oregon St.,Arizona St.,53,73,2022-02-19
Sacramento St.,Idaho St.,80,75,2022-02-19
Northern Colo.,Weber St.,83,79,2022-02-19
DePaul,Seton Hall,64,66,2022-02-19
Colorado St.,UNLV,51,72,2022-02-19
Cal Poly,UC Riverside,58,78,2022-02-19
ULM,Louisiana,74,79,2022-02-19
Pepperdine,Portland,74,77,2022-02-19
CSU Bakersfield,UC Davis,79,81,2022-02-19
Kansas,West Virginia,71,58,2022-02-19
Santa Clara,Gonzaga,69,81,2022-02-19
Utah Valley,Dixie St.,75,80,2022-02-19
Colorado,Stanford,70,53,2022-02-19
Washington,UCLA,50,76,2022-02-19
Oregon,Arizona,81,84,2022-02-19
BYU,Saint Marys (CA),64,69,2022-02-19
San Diego St.,Fresno St.,61,44,2022-02-19
Long Beach St.,UC Santa Barbara,71,84,2022-02-19
LMU (CA),Pacific,68,69,2022-02-19
Cal St. Fullerton,CSUN,81,73,2022-02-19
NJIT,Maine,61,65,2022-02-20
Wright St.,Detroit Mercy,75,80,2022-02-20
Houston,Wichita St.,76,74,2022-02-20
Fairfield,Iona,58,76,2022-02-20
Providence,Butler,71,70,2022-02-20
Michigan,Wisconsin,63,77,2022-02-20
Saint Peters,Siena,70,84,2022-02-20
Quinnipiac,Marist,66,67,2022-02-20
Temple,Cincinnati,75,71,2022-02-20
Purdue Fort Wayne,Milwaukee,81,71,2022-02-20
Missouri St.,UNI,75,95,2022-02-20
East Carolina,UCF,66,69,2022-02-20
Rider,Manhattan,78,84,2022-02-20
George Mason,Fordham,47,50,2022-02-20
Marquette,Creighton,82,83,2022-02-20
Memphis,SMU,57,73,2022-02-20
Cleveland St.,Green Bay,79,67,2022-02-20
Northern Ky.,Oakland,71,66,2022-02-20
New Mexico,San Jose St.,55,71,2022-02-20
Lehigh,Loyola Maryland,42,69,2022-02-20
Stony Brook,Hartford,70,74,2022-02-20
Rutgers,Purdue,72,84,2022-02-20
Jacksonville St.,Bellarmine,82,67,2022-02-20
Washington St.,Southern California,60,62,2022-02-20
Mississippi St.,Missouri,58,56,2022-02-20
American,Colgate,49,63,2022-02-21
Indiana,Ohio St.,69,80,2022-02-21
Penn St.,Maryland,61,67,2022-02-21
Holy Cross,Lafayette,61,84,2022-02-21
Florida St.,Boston College,55,71,2022-02-21
Georgia Tech,Syracuse,73,74,2022-02-21
Liberty,Central Ark.,85,66,2022-02-21
UTEP,Middle Tenn.,59,77,2022-02-21
Louisville,North Carolina,63,70,2022-02-21
Coppin St.,Howard,86,82,2022-02-21
Alabama A&M,Florida A&M,71,63,2022-02-21
Delaware St.,South Carolina St.,74,79,2022-02-21
Norfolk St.,Morgan St.,74,85,2022-02-21
UMES,N.C. Central,79,66,2022-02-21
Indiana St.,Drake,58,74,2022-02-21
Loyola Chicago,Illinois St.,59,50,2022-02-21
West Virginia,TCU,67,77,2022-02-21
Eastern Ill.,SIUE,52,66,2022-02-21
Southern Utah,Northern Ariz.,79,48,2022-02-21
The Citadel,Samford,74,76,2022-02-21
Evansville,Valparaiso,69,74,2022-02-21
Marshall,Southern Miss.,74,60,2022-02-21
Idaho St.,Northern Colo.,70,77,2022-02-21
Texas Southern,Ark.-Pine Bluff,70,68,2022-02-21
Prairie View,Mississippi Val.,69,64,2022-02-21
Alabama St.,Bethune-Cookman,89,78,2022-02-21
Baylor,Oklahoma St.,66,64,2022-02-21
San Francisco,Pacific,104,71,2022-02-21
Arizona St.,UCLA,52,66,2022-02-21
New Mexico St.,Seattle U,68,55,2022-02-21
St. Thomas (MN),North Dakota,84,74,2022-02-22
Yale,Dartmouth,66,61,2022-02-22
Central Mich.,Ohio,50,76,2022-02-22
Col. of Charleston,Northeastern,83,72,2022-02-22
NIU,Eastern Mich.,72,74,2022-02-22
Georgia,Texas A&M,77,91,2022-02-22
Tennessee,Missouri,80,61,2022-02-22
Michigan St.,Iowa,60,86,2022-02-22
Siena,Monmouth,59,71,2022-02-22
Rhode Island,St. Bonaventure,55,73,2022-02-22
Buffalo,Miami (OH),86,84,2022-02-22
Bowling Green,Akron,68,82,2022-02-22
Ball St.,Kent St.,82,93,2022-02-22
Toledo,Western Mich.,92,50,2022-02-22
Arkansas,Florida,82,74,2022-02-22
Richmond,George Washington,84,71,2022-02-22
Villanova,UConn,69,71,2022-02-22
Miami (FL),Pittsburgh,85,64,2022-02-22
Oklahoma,Texas Tech,42,66,2022-02-22
Nebraska,Northwestern,65,77,2022-02-22
Saint Josephs,Saint Louis,61,72,2022-02-22
Fresno St.,Air Force,65,40,2022-02-22
San Diego St.,Boise St.,57,58,2022-02-22
Alabama,Vanderbilt,74,72,2022-02-22
Kansas St.,Kansas,83,102,2022-02-22
CSU Bakersfield,Cal Poly,61,60,2022-02-22
New Mexico,Utah St.,56,81,2022-02-22
UNLV,Nevada,62,54,2022-02-22
Bucknell,Army West Point,60,73,2022-02-23
Mississippi St.,South Carolina,56,66,2022-02-23
Creighton,St. Johns (NY),81,78,2022-02-23
FGCU,Liberty,82,72,2022-02-23
Davidson,Duquesne,74,50,2022-02-23
Lipscomb,Bellarmine,73,76,2022-02-23
Colgate,Holy Cross,78,71,2022-02-23
Lafayette,Boston U.,60,76,2022-02-23
UMBC,Hartford,92,85,2022-02-23
Stony Brook,UMass Lowell,50,67,2022-02-23
South Fla.,East Carolina,60,64,2022-02-23
Campbell,Hampton,66,68,2022-02-23
Chattanooga,ETSU,83,77,2022-02-23
Vermont,Binghamton,66,49,2022-02-23
Stetson,Kennesaw St.,71,75,2022-02-23
Eastern Ky.,Jacksonville St.,68,81,2022-02-23
Wake Forest,Clemson,69,80,2022-02-23
Louisiana,Ga. Southern,82,69,2022-02-23
UT Arlington,Troy,53,59,2022-02-23
ULM,Georgia St.,70,82,2022-02-23
James Madison,Towson,65,84,2022-02-23
George Mason,VCU,66,72,2022-02-23
Duke,Virginia,65,61,2022-02-23
Xavier,Providence,92,99,2022-02-23
Boston College,NC State,69,61,2022-02-23
Western Caro.,UNC Greensboro,64,73,2022-02-23
Syracuse,Notre Dame,69,79,2022-02-23
UNC Asheville,Gardner-Webb,59,60,2022-02-23
Massachusetts,Dayton,61,82,2022-02-23
The Citadel,Mercer,71,67,2022-02-23
High Point,N.C. A&T,78,58,2022-02-23
Rutgers,Michigan,62,71,2022-02-23
UNI,Indiana St.,88,82,2022-02-23
North Florida,Jacksonville,39,71,2022-02-23
La Salle,Fordham,54,60,2022-02-23
Albany (NY),Maine,72,68,2022-02-23
Drake,Valparaiso,71,65,2022-02-23
Radford,Longwood,66,71,2022-02-23
Charleston So.,Presbyterian,48,68,2022-02-23
West Virginia,Iowa St.,81,84,2022-02-23
TCU,Texas,66,75,2022-02-23
Central Ark.,North Ala.,81,72,2022-02-23
Wofford,VMI,83,72,2022-02-23
Loyola Maryland,Navy,50,52,2022-02-23
New Hampshire,NJIT,83,55,2022-02-23
American,Lehigh,61,78,2022-02-23
App State,Little Rock,78,66,2022-02-23
Furman,Samford,75,83,2022-02-23
Texas St.,South Alabama,55,52,2022-02-23
Coastal Carolina,Arkansas St.,74,69,2022-02-23
Tulsa,SMU,61,75,2022-02-23
Houston,Tulane,81,67,2022-02-23
Grand Canyon,Chicago St.,85,64,2022-02-23
Evansville,Loyola Chicago,31,82,2022-02-23
Bradley,Missouri St.,67,83,2022-02-23
Illinois St.,Southern Ill.,69,90,2022-02-23
Ole Miss,Auburn,64,77,2022-02-23
Butler,Seton Hall,60,66,2022-02-23
Wisconsin,Minnesota,68,67,2022-02-23
Wyoming,Colorado St.,55,61,2022-02-23
LSU,Kentucky,66,71,2022-02-23
Virginia Tech,Georgia Tech,62,58,2022-02-23
Cincinnati,UCF,61,75,2022-02-23
Washington,Washington St.,70,78,2022-02-23
Wagner,Fairleigh Dickinson,86,88,2022-02-24
William & Mary,Northeastern,28,62,2022-02-24
Cleveland St.,Detroit Mercy,67,74,2022-02-24
Purdue Fort Wayne,Oakland,81,70,2022-02-24
Youngstown St.,Wright St.,71,84,2022-02-24
UNCW,Drexel,69,63,2022-02-24
Elon,Hofstra,81,55,2022-02-24
Siena,Quinnipiac,78,71,2022-02-24
Temple,Memphis,64,78,2022-02-24
Robert Morris,Northern Ky.,64,78,2022-02-24
Bryant,St. Francis Brooklyn,86,69,2022-02-24
Merrimack,LIU,74,85,2022-02-24
Omaha,Western Ill.,76,88,2022-02-24
Maryland,Indiana,64,74,2022-02-24
Col. of Charleston,Delaware,99,96,2022-02-24
Central Mich.,Miami (OH),83,69,2022-02-24
Saint Francis (PA),Central Conn. St.,79,63,2022-02-24
USC Upstate,Winthrop,59,89,2022-02-24
Fla. Atlantic,Old Dominion,51,70,2022-02-24
